OrgID,OrgType,Language,Grade,ApplySuppression,BoardMident,BoardName,SchoolMident,SchoolName,FundingType,Suppressed,cntStudents_Read,cntStudents_Write,cntStudents_Math,cntExempted_Read,cntExempted_Write,cntExempted_Math,cntAbsent_Read,cntAbsent_Write,cntAbsent_Math,cntNoData_Read,cntNoData_Write,cntNoData_Math,cntFullyParticipating_Read,cntFullyParticipating_Write,cntFullyParticipating_Math,cntFirstLang_Read,cntFirstLang_Write,cntFirstLang_Math,cntFirstLang_Other_Read,cntFirstLang_Other_Write,cntFirstLang_Other_Math,cntFirstLang_NoData_Read,cntFirstLang_NoData_Write,cntFirstLang_NoData_Math,pctExempted_Read,pctExempted_Write,pctExempted_Math,pctAbsent_Read,pctAbsent_Write,pctAbsent_Math,pctNoData_Read,pctNoData_Write,pctNoData_Math,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctFirstLang_Read,pctFirstLang_Write,pctFirstLang_Math,pctFirstLang_Other_Read,pctFirstLang_Other_Write,pctFirstLang_Other_Math,pctFirstLang_NoData_Read,pctFirstLang_NoData_Write,pctFirstLang_NoData_Math,cntOverallR_L4,cntOverallR_L3,cntOverallR_L2,cntOverallR_L1,cntOverallR_NE1,cntOverallR_L34,cntOverallW_L4,cntOverallW_L3,cntOverallW_L2,cntOverallW_L1,cntOverallW_NE1,cntOverallW_L34,cntOverallM_L4,cntOverallM_L3,cntOverallM_L2,cntOverallM_L1,cntOverallM_NE1,cntOverallM_L34,pctOverallR_L4,pctOverallR_L3,pctOverallR_L2,pctOverallR_L1,pctOverallR_NE1,pctOverallR_L34,pctOverallW_L4,pctOverallW_L3,pctOverallW_L2,pctOverallW_L1,pctOverallW_NE1,pctOverallW_L34,pctOverallM_L4,pctOverallM_L3,pctOverallM_L2,pctOverallM_L1,pctOverallM_NE1,pctOverallM_L34,cntOverallR_G1_Part,cntOverallW_G1_Part,cntOverallM_G1_Part,cntOverallR_G1_L4,cntOverallR_G1_L3,cntOverallR_G1_L2,cntOverallR_G1_L1,cntOverallR_G1_NE1,cntOverallR_G1_L34,cntOverallW_G1_L4,cntOverallW_G1_L3,cntOverallW_G1_L2,cntOverallW_G1_L1,cntOverallW_G1_NE1,cntOverallW_G1_L34,cntOverallM_G1_L4,cntOverallM_G1_L3,cntOverallM_G1_L2,cntOverallM_G1_L1,cntOverallM_G1_NE1,cntOverallM_G1_L34,cntOverallR_G2_Part,cntOverallW_G2_Part,cntOverallM_G2_Part,cntOverallR_G2_L4,cntOverallR_G2_L3,cntOverallR_G2_L2,cntOverallR_G2_L1,cntOverallR_G2_NE1,cntOverallR_G2_L34,cntOverallW_G2_L4,cntOverallW_G2_L3,cntOverallW_G2_L2,cntOverallW_G2_L1,cntOverallW_G2_NE1,cntOverallW_G2_L34,cntOverallM_G2_L4,cntOverallM_G2_L3,cntOverallM_G2_L2,cntOverallM_G2_L1,cntOverallM_G2_NE1,cntOverallM_G2_L34
0,P,en,3,1,,,,,1 & 3,0,123924,123925,129674,5096,5056,4881,273,283,283,1376,1161,1291,117179,117425,123219,90225,90413,94788,24570,24621,26017,2384,2391,2414,4%,4%,4%,<1%,<1%,<1%,1%,1%,1%,95%,95%,95%,77%,77%,77%,21%,21%,21%,2%,2%,2%,25194,61713,28695,1571,6,86907,6575,69246,37111,4215,278,75821,22171,56194,33831,9855,1168,78365,22%,53%,24%,1%,<1%,74%,6%,59%,32%,4%,<1%,65%,18%,46%,27%,8%,1%,64%,59851,59976,62665,10869,31302,16619,1056,5,42171,2438,33437,21295,2619,187,35875,13295,28861,15506,4443,560,42156,57277,57398,60499,14301,30392,12068,515,1,44693,4130,35777,15805,1595,91,39907,8860,27302,18320,5410,607,36162
0,P,fr,3,1,,,,,1 & 3,0,8854,8854,8854,264,264,247,17,18,18,56,41,31,8517,8531,8558,3793,3804,3811,4578,4581,4601,146,146,146,3%,3%,3%,<1 %,<1 %,<1 %,1%,<1 %,<1 %,96%,96%,97%,45%,45%,45%,54%,54%,54%,2%,2%,2%,1869,4556,1999,93,0,6425,1253,4481,2191,519,87,5734,2198,4190,1876,273,21,6388,22%,53%,23%,1%,0%,75%,15%,53%,26%,6%,1%,67%,26%,49%,22%,3%,<1 %,75%,4165,4174,4185,821,2206,1084,54,0,3027,555,2114,1145,303,57,2669,1233,2004,815,125,8,3237,4351,4356,4372,1047,2350,915,39,0,3397,697,2367,1046,216,30,3064,964,2186,1061,148,13,3150
15199,B,en,3,1,15199,Moose Factory Island DSAB,,,1,0,38,38,38,4,4,4,0,0,0,3,2,2,31,32,32,30,31,31,N/R,N/R,N/R,N/R,N/R,N/R,11%,11%,11%,0%,0%,0%,8%,5%,5%,82%,84%,84%,97%,97%,97%,N/R,N/R,N/R,N/R,N/R,N/R,0,8,19,4,0,8,0,7,15,10,0,7,0,0,15,15,2,0,0%,26%,61%,13%,0%,26%,0%,22%,47%,31%,0%,22%,0%,0%,47%,47%,6%,0%,11,12,12,0,3,6,2,0,3,0,3,5,4,0,3,0,0,5,6,1,0,20,20,20,0,5,13,2,0,5,0,4,10,6,0,4,0,0,10,9,1,0
15202,B,en,3,1,15202,Moosonee DSAB,,,1,0,26,26,26,0,0,0,0,0,0,0,0,0,26,26,26,25,25,25,N/R,N/R,N/R,N/R,N/R,N/R,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,96%,96%,96%,N/R,N/R,N/R,N/R,N/R,N/R,3,12,11,0,0,15,1,9,16,0,0,10,2,7,12,5,0,9,12%,46%,42%,0%,0%,58%,4%,35%,62%,0%,0%,38%,8%,27%,46%,19%,0%,35%,13,13,13,0,6,7,0,0,6,0,4,9,0,0,4,1,3,6,3,0,4,13,13,13,3,6,4,0,0,9,1,5,7,0,0,6,1,4,6,2,0,5
28002,B,en,3,1,28002,DSB Ontario North East,,,1,0,250,250,446,19,19,19,0,0,0,4,2,4,227,229,423,211,213,396,10,10,20,N/R,N/R,N/R,8%,8%,4%,0%,0%,0%,2%,1%,1%,91%,92%,95%,93%,93%,94%,4%,4%,5%,N/R,N/R,N/R,14,107,102,4,0,121,4,78,120,26,1,82,34,157,155,70,7,191,6%,47%,45%,2%,0%,53%,2%,34%,52%,11%,<1%,36%,8%,37%,37%,17%,2%,45%,127,127,224,8,58,59,2,0,66,2,40,68,16,1,42,19,88,75,37,5,107,100,102,199,6,49,43,2,0,55,2,38,52,10,0,40,15,69,80,33,2,84
28010,B,en,3,1,28010,Algoma DSB,,,1,0,598,598,703,20,20,20,0,0,0,6,5,5,572,573,678,552,553,651,18,18,25,N/R,N/R,N/R,3%,3%,3%,0%,0%,0%,1%,1%,1%,96%,96%,96%,97%,97%,96%,3%,3%,4%,N/R,N/R,N/R,73,308,171,19,1,381,11,282,242,35,3,293,61,273,234,93,17,334,13%,54%,30%,3%,<1%,67%,2%,49%,42%,6%,1%,51%,9%,40%,35%,14%,3%,49%,319,320,367,35,167,101,15,1,202,6,138,151,22,3,144,43,145,129,43,7,188,253,253,311,38,141,70,4,0,179,5,144,91,13,0,149,18,128,105,50,10,146
28029,B,en,3,1,28029,Rainbow District School Board,,,1,0,900,900,900,42,42,41,4,4,4,4,3,6,850,851,849,818,818,817,25,25,25,N/R,N/R,N/R,5%,5%,5%,<1%,<1%,<1%,<1%,<1%,1%,94%,95%,94%,96%,96%,96%,3%,3%,3%,N/R,N/R,N/R,216,440,189,5,0,656,62,500,261,27,1,562,178,339,237,86,9,517,25%,52%,22%,1%,0%,77%,7%,59%,31%,3%,<1%,66%,21%,40%,28%,10%,1%,61%,403,403,404,106,203,92,2,0,309,26,236,127,14,0,262,105,164,99,32,4,269,447,448,445,110,237,97,3,0,347,36,264,134,13,1,300,73,175,138,54,5,248
28037,B,en,3,1,28037,Near North DSB,,,1,0,686,686,686,12,12,15,0,0,0,7,5,7,667,669,664,648,650,645,14,14,14,N/R,N/R,N/R,2%,2%,2%,0%,0%,0%,1%,1%,1%,97%,98%,97%,97%,97%,97%,2%,2%,2%,N/R,N/R,N/R,73,327,253,14,0,400,10,279,346,31,3,289,54,270,231,99,10,324,11%,49%,38%,2%,0%,60%,1%,42%,52%,5%,<1%,43%,8%,41%,35%,15%,2%,49%,354,354,353,30,161,153,10,0,191,3,129,200,19,3,132,33,155,113,49,3,188,313,315,311,43,166,100,4,0,209,7,150,146,12,0,157,21,115,118,50,7,136
28045,B,en,3,1,28045,Keewatin-Patricia DSB,,,1,0,301,301,301,12,12,14,2,2,2,2,1,2,285,286,283,273,274,271,N/R,N/R,N/R,10,10,10,4%,4%,5%,1%,1%,1%,1%,<1%,1%,95%,95%,94%,96%,96%,96%,N/R,N/R,N/R,4%,3%,4%,55,147,75,8,0,202,21,156,91,17,1,177,43,120,78,36,6,163,19%,52%,26%,3%,0%,71%,7%,55%,32%,6%,<1%,62%,15%,42%,28%,13%,2%,58%,149,150,147,23,77,44,5,0,100,10,74,53,12,1,84,23,62,39,19,4,85,135,135,135,32,69,31,3,0,101,10,82,38,5,0,92,19,58,39,17,2,77
28053,B,en,3,1,28053,Rainy River DSB,,,1,0,139,139,139,5,5,5,0,0,0,1,0,1,133,134,133,132,133,132,N/R,N/R,N/R,N/R,N/R,N/R,4%,4%,4%,0%,0%,0%,1%,0%,1%,96%,96%,96%,99%,99%,99%,N/R,N/R,N/R,N/R,N/R,N/R,17,67,46,3,0,84,5,60,61,8,0,65,13,51,51,17,1,64,13%,50%,35%,2%,0%,63%,4%,45%,46%,6%,0%,49%,10%,38%,38%,13%,1%,48%,67,67,67,7,34,24,2,0,41,2,27,33,5,0,29,6,32,20,8,1,38,66,67,66,10,33,22,1,0,43,3,33,28,3,0,36,7,19,31,9,0,26
