BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Toronto DSB,Chalkfarm PS,3,en,1,100%,100%,100%,55%,30%,30%,0%,0%,0%
Waterloo Region DSB,Chalmers Street PS,3,en,1,87%,98%,98%,58%,51%,47%,0%,0%,0%
Renfrew County DSB,Champlain Discovery PS,3,en,1,95%,96%,96%,63%,35%,41%,3%,3%,3%
Algoma DSB,Chapleau PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Rainbow District School Board,Charles C McLean PS,3,en,1,93%,93%,93%,54%,62%,46%,7%,7%,7%
Toronto DSB,Charles E Webster Jr PS,3,en,1,90%,90%,90%,55%,39%,32%,10%,10%,10%
Toronto DSB,Charles G Fraser Jr PS,3,en,1,81%,81%,81%,59%,59%,64%,19%,19%,19%
Ottawa-Carleton DSB,Charles H Hulse PS,3,en,1,86%,86%,86%,34%,32%,32%,14%,14%,14%
York Region DSB,Charles Howitt PS,3,en,1,98%,98%,98%,60%,64%,62%,0%,0%,0%
Peel District School Board,Artesian Dr PS,3,en,1,94%,94%,94%,70%,59%,54%,3%,3%,3%
Trillium Lakelands DSB,Alexandra PS,3,en,1,95%,95%,95%,71%,43%,52%,0%,0%,0%
Toronto DSB,Charlottetown PS,3,en,1,93%,96%,96%,65%,73%,68%,4%,4%,4%
Toronto DSB,Chartland Jr PS,3,en,1,100%,100%,100%,76%,62%,71%,0%,0%,0%
Kawartha Pine Ridge DSB,C R Gummow PS,3,en,1,100%,100%,100%,83%,65%,59%,0%,0%,0%
Conseil scolaire Viamonde,École élémentaire Marie-Curie,3,fr,1,100%,100%,100%,81%,74%,87%,0%,0%,0%
Bluewater DSB,Alexandra Community S,3,en,1,91%,91%,91%,77%,52%,55%,9%,9%,9%
Hamilton-Wentworth DSB,Chedoke,3,en,1,95%,95%,97%,77%,66%,61%,5%,5%,3%
Rainbow District School Board,Chelmsford Valley District Comp S,3,en,1,98%,98%,98%,53%,23%,32%,2%,2%,2%
Kawartha Pine Ridge DSB,Chemong PS,3,en,1,98%,98%,98%,70%,57%,54%,2%,2%,2%
Toronto DSB,Cherokee PS,3,en,1,100%,100%,100%,64%,50%,71%,0%,0%,0%
DSB of Niagara,Cherrywood Acres PS,3,en,1,83%,86%,83%,97%,90%,86%,14%,14%,14%
Waterloo Region DSB,Hillside Public School,3,en,1,95%,95%,95%,30%,15%,15%,5%,5%,5%
Toronto DSB,Chester PS,3,en,1,96%,96%,96%,81%,79%,50%,0%,0%,0%
Toronto DSB,Chester Le Jr PS,3,en,1,100%,100%,100%,46%,46%,15%,0%,0%,0%
Upper Canada DSB,Chesterville PS,3,en,1,96%,96%,96%,71%,50%,58%,4%,4%,4%
Toronto DSB,Chine Drive PS,3,en,1,100%,100%,100%,91%,82%,91%,0%,0%,0%
Thames Valley District School Board,Chippewa PS,3,en,1,92%,94%,92%,78%,72%,71%,4%,4%,4%
Toronto DSB,Church Street Jr PS,3,en,1,95%,95%,97%,81%,69%,70%,5%,5%,3%
Peel District School Board,Walnut Grove Public School,3,en,1,97%,97%,97%,76%,67%,67%,3%,3%,3%
Toronto DSB,Churchill PS,3,en,1,96%,96%,96%,81%,81%,88%,4%,4%,4%
Toronto DSB,Churchill Heights PS,3,en,1,87%,87%,87%,79%,73%,52%,13%,13%,13%
Rainbow District School Board,Churchill PS,3,en,1,87%,88%,88%,64%,54%,57%,12%,12%,10%
Peel District School Board,Churchill Meadows PS,3,en,1,97%,97%,97%,82%,73%,66%,3%,3%,3%
Ottawa-Carleton DSB,Churchill Alternative S,3,en,1,93%,93%,93%,93%,79%,61%,3%,3%,3%
Toronto DSB,Claireville Jr S,3,en,1,92%,92%,92%,59%,55%,45%,8%,8%,8%
Toronto DSB,Clairlea PS,3,en,1,83%,83%,89%,48%,36%,67%,10%,10%,7%
Thames Valley District School Board,Clara Brenton PS,3,en,1,97%,98%,97%,84%,84%,72%,2%,2%,2%
Limestone DSB,Clarendon Central PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Peel District School Board,Clark Blvd. PS,3,en,1,87%,88%,88%,55%,49%,49%,9%,9%,9%
Waterloo Region DSB,Clemens Mill PS,3,en,1,100%,100%,100%,68%,66%,60%,0%,0%,0%
Kawartha Pine Ridge DSB,Orono PS,3,en,1,100%,100%,100%,69%,65%,73%,0%,0%,0%
Waterloo Region DSB,Moffat Creek PS,3,en,1,98%,98%,98%,77%,70%,62%,2%,2%,2%
Greater Essex County DSB,A V Graham PS,3,en,1,94%,94%,94%,54%,41%,26%,6%,6%,6%
Toronto DSB,Alexmuir Jr PS,3,en,1,95%,95%,95%,72%,62%,72%,2%,2%,2%
Halton DSB,Clarksdale PS,3,en,1,100%,100%,100%,81%,71%,59%,0%,0%,0%
Peel District School Board,Clarkson PS,3,en,1,88%,94%,88%,64%,60%,57%,6%,6%,6%
Thames Valley District School Board,Cleardale PS,3,en,1,80%,82%,82%,58%,57%,59%,11%,11%,9%
York Region DSB,Clearmeadow Elementary Public School,3,en,1,100%,100%,100%,67%,60%,63%,0%,0%,0%
