School Name,Board Name,Municipality,School Level,School Language,Grade6Reading,LowIncome_pct,NoDegree_pct,Density_2021,Grade6Reading_pct,Grade6Writing_pct,Grade6Math_pct,Grade3Reading_pct,Grade3Math_pct,Grade6Reading_3yr_change,Grade6Math_3yr_change,SpecialEd_pct,Enrolment,City,Latitude,Longitude,EquityRisk
Anna McCrea Public School,Algoma DSB,sault ste marie,Elementary,English,92.0,0.0,0.0,324.6,92%,100%,62%,73%,67%,19.0,12.0,20,280,Sault Ste Marie,46.50593,-84.2873,False
Ben R McMullin Public School,Algoma DSB,sault ste marie,Elementary,English,60.0,15.0,10.0,324.6,60%,53%,27%,69%,56%,-3.0,-5.0,30,170,Sault Ste Marie,46.52455,-84.298,False
Blind River Public School,Algoma DSB,blind river,Elementary,English,75.0,20.0,10.0,6.7,75%,67%,17%,50%,56%,0.0,-28.0,25,190,Blind River,46.18454,-82.9576,False
Boreal French Immersion Public School,Algoma DSB,sault ste marie,Elementary,English,87.0,10.0,0.0,324.6,87%,94%,61%,N/D,51%,2.0,2.0,10,445,Sault Ste Marie,46.52447,-84.3107,False
Central Algoma Public School,Algoma DSB,johnson,Elementary,English,72.0,25.0,20.0,6.3,72%,64%,28%,29%,24%,-20.0,-32.0,10,170,Desbarats,46.34875,-83.9253,False
Central Avenue Public School,Algoma DSB,elliot lake,Elementary,English,85.0,20.0,10.0,16.3,85%,65%,55%,53%,53%,16.0,43.0,20,165,Elliot Lake,46.3904,-82.6588,False
Chapleau Public School,Algoma DSB,chapleau,Elementary,English,77.0,0.0,0.0,147.1,77%,62%,38%,N/R,N/R,37.0,28.0,20,100,Chapleau,47.84496,-83.4033,False
East View Public School,Algoma DSB,sault ste marie,Elementary,English,47.0,10.0,5.0,324.6,47%,43%,11%,38%,12%,-29.0,0.0,30,305,Sault Ste Marie,46.51668,-84.28,True
Esten Park Public School,Algoma DSB,elliot lake,Elementary,English,82.0,20.0,10.0,16.3,82%,76%,18%,48%,24%,-8.0,-2.0,5,160,Elliot Lake,46.37191,-82.6198,False
Francis H Clergue Public School,Algoma DSB,sault ste marie,Elementary,English,90.0,9.0,2.0,324.6,90%,85%,56%,N/D,59%,3.0,28.0,13,535,Sault Ste Marie,46.51862,-84.3096,False
Grand View Public School,Algoma DSB,sault ste marie,Elementary,English,69.0,0.0,0.0,324.6,69%,72%,31%,68%,68%,-23.0,-2.0,10,315,Sault Ste Marie,46.50955,-84.2659,False
Greenwood Public School,Algoma DSB,sault ste marie,Elementary,English,47.0,10.0,0.0,324.6,47%,41%,28%,75%,58%,-5.0,-6.0,20,270,Sault Ste Marie,46.56732,-84.3528,True
H M Robbins Public School,Algoma DSB,sault ste marie,Elementary,English,47.0,15.0,10.0,324.6,47%,37%,16%,74%,42%,-23.0,8.0,30,205,Sault Ste Marie,46.5328,-84.3895,True
Isabel Fletcher Public School,Algoma DSB,sault ste marie,Elementary,English,72.0,10.0,0.0,324.6,72%,66%,31%,64%,45%,-11.0,-14.0,35,210,Sault Ste Marie,46.55114,-84.3789,False
Kiwedin Public School,Algoma DSB,sault ste marie,Elementary,English,59.0,15.0,0.0,324.6,59%,63%,19%,45%,30%,-15.0,14.0,25,190,Sault Ste Marie,46.54201,-84.3351,True
Mountain View Public School,Algoma DSB,sault ste marie,Elementary,English,71.0,10.0,0.0,324.6,71%,52%,29%,24%,38%,9.0,4.0,20,230,Goulais River,46.77124,-84.3616,False
Northern Heights Public School,Algoma DSB,sault ste marie,Elementary,English,61.0,15.0,0.0,324.6,61%,52%,22%,76%,52%,-8.0,-3.0,30,230,Sault Ste Marie,46.53072,-84.329,False
Parkland Public School,Algoma DSB,sault ste marie,Elementary,English,73.0,10.0,0.0,324.6,73%,45%,27%,29%,7%,3.0,27.0,30,125,Sault Ste Marie,46.51456,-84.2582,False
Pinewood Public School,Algoma DSB,sault ste marie,Elementary,English,50.0,10.0,10.0,324.6,50%,39%,11%,47%,28%,-43.0,-16.0,20,245,Sault Ste Marie,46.52417,-84.2477,True
Queen Elizabeth Public School,Algoma DSB,sault ste marie,Elementary,English,86.0,10.0,0.0,324.6,86%,81%,51%,71%,60%,14.0,15.0,20,290,Sault Ste Marie,46.50658,-84.3041,False
R M Moore Public School,Algoma DSB,sault ste marie,Elementary,English,94.0,5.0,0.0,324.6,94%,84%,72%,75%,75%,2.0,8.0,20,280,Sault Ste Marie,46.52177,-84.4441,False
River View Public School,Algoma DSB,sault ste marie,Elementary,English,74.0,15.0,5.0,324.6,74%,63%,40%,31%,21%,-2.0,22.0,25,205,Sault Ste Marie,46.51751,-84.299,False
Sir James Dunn Public School,Algoma DSB,middlesex,Elementary,English,60.0,10.0,0.0,150.9,60%,40%,10%,N/R,N/R,3.0,10.0,20,85,Wawa,47.99693,-84.7728,False
St Joseph Island Central Public School,Algoma DSB,st joseph,Elementary,English,92.0,10.0,0.0,11.2,92%,85%,54%,93%,100%,9.0,54.0,10,135,Richards Landing,46.28922,-84.0347,False
Tarentorus Public School,Algoma DSB,sault ste marie,Elementary,English,68.0,5.0,0.0,324.6,68%,62%,53%,79%,63%,-18.0,-4.0,15,315,Sault Ste Marie,46.54554,-84.3085,False
Thessalon Public School,Algoma DSB,thessalon,Elementary,English,71.0,15.0,0.0,287.5,71%,57%,24%,73%,40%,-8.0,-9.0,30,155,Thessalon,46.2604,-83.559,False
Archbishop O'Sullivan Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,72.0,10.0,0.0,293.4,72%,81%,59%,96%,88%,-18.0,0.0,20,240,Kingston,44.2496,-76.5849,False
Cathedrale Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,78.0,5.0,0.0,293.4,78%,74%,28%,83%,66%,-15.0,-12.0,15,355,Kingston,44.23167,-76.491,False
Georges Vanier Catholic School,Algonquin and Lakeshore CDSB,belleville,Elementary,English,81.0,10.0,5.0,222.8,81%,75%,39%,74%,50%,-10.0,2.0,20,320,Belleville,44.18404,-77.4013,False
Holy Name Catholic School,Algonquin and Lakeshore CDSB,kingston,Elementary,English,76.0,0.0,0.0,293.4,76%,62%,29%,83%,78%,9.0,2.0,20,140,Kingston,44.30068,-76.4242,False
Holy Name of Mary Catholic School,Algonquin and Lakeshore CDSB,tyendinaga,Elementary,English,100.0,0.0,5.0,14.5,100%,91%,55%,58%,67%,31.0,47.0,15,140,Marysville,44.22671,-77.1368,False
Holy Rosary Catholic School,Algonquin and Lakeshore CDSB,belleville,Elementary,English,83.0,10.0,0.0,222.8,83%,75%,38%,57%,52%,23.0,25.0,20,210,Belleville,44.17815,-77.3845,False
